mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,1,2,theta,1e-05,30,0,0.000193620716369586,1.85951722465049e-06,0.00146304809287926,1,9.99999999995587e-06,1.49971589590421e-07,-0.00146304809287914,5.01328510928879e-05,1.74787003993526e-11
2.3,6.5,1,2,theta,0.0001,30,0,0.00193620720073787,1.85951725731391e-05,0.0146304809236114,1,9.99999999638846e-05,1.49971589537062e-06,-0.0146304809236022,0.000501328523126979,1.74793402351291e-09
2.3,6.5,1,2,theta,0.001,30,0,0.0193621090493916,0.000185952052365535,0.146304804319112,0,0.000999999963934656,1.4997158419772e-05,-0.146304804045137,0.00501329742937146,1.74794829027834e-07
2.3,6.5,1,2,theta,0.01,30,0,0.193658134710267,0.00185984717141411,1.46304579044405,0,0.00999996388660281,0.000149971049539053,-1.46304284256021,0.0501451731675429,1.74936764480948e-05
2.3,6.5,1,2,theta,0.1,30,0,1.976749559662,0.0189555214866927,14.6392676340593,0,0.0999584464813536,0.00149909424966127,-14.6244344973132,0.514692895719891,0.00190221213573478
2.3,6.5,1,2,theta,1,1.50259845581689,2,51.775076706608,0.500000000000012,50.2082365735619,0,51.775076706608,0.500000000000012,-50.2082365735619,19.3664431809933,0.223618346629487
2.3,6.5,1,2,theta,5,0.666415045403835,2,51.1876925597685,0.500000000000007,23.3479825780391,0,51.1876925597685,0.500000000000007,-23.3479825780391,19.2178435800106,0.187720206693464
2.3,6.5,1,4,theta,1e-05,30,0,5.43899266936676e-05,6.18237382236094e-07,0.000125452613775627,1,9.99999999999907e-06,1.49971589591026e-07,-0.000125171671954071,7.52892359593819e-05,1.0709577584389e-12
2.3,6.5,1,4,theta,0.0001,30,0,0.000543899267073272,6.18237382354238e-06,0.00125452613819959,1,9.99999999992815e-05,1.4997158959012e-06,-0.00125171671953603,0.000752892359593819,1.07080473390315e-10
2.3,6.5,1,4,theta,0.001,30,0,0.00543899280733071,6.18237394168738e-05,0.0125452618253247,1,0.000999999999303131,1.49971589501763e-05,-0.0125171671907422,0.00752892359593819,1.07080386575614e-08
2.3,6.5,1,4,theta,0.01,30,0,0.0543900646700699,0.000618238575607311,0.125453061596138,0,0.0099999993032316,0.000149971580664297,-0.125171667287766,0.0752892359593819,1.07081301707248e-06
2.3,6.5,1,4,theta,0.1,30,0,0.544037121348438,0.00618356604458323,1.25498760021218,0,0.0999993017927041,0.00149970694755767,-1.25171203513141,0.752892359593819,0.000107172769863905
2.3,6.5,1,4,theta,1,30,0,5.61682914182491,0.0633675831773711,13.8198321597487,0,0.999089960800787,0.0149850297775876,-12.5098207384398,7.52892359593819,0.0118316958537751
2.3,6.5,1,4,theta,5,0.733068241251301,2,44.1880294138618,0.5,22.0258656844969,0,44.1880294138618,0.5,-22.0258656844969,37.6446179796909,0.152542948638083
2.3,6.5,1,8,theta,1e-05,30,0,4.15968699986587e-05,5.79453213509586e-07,2.30244923163261e-05,1,9.99999999999795e-06,1.49971589591012e-07,-7.98707191120533e-06,0.000527094198991323,3.00207101640716e-13
2.3,6.5,1,8,theta,0.0001,30,0,0.000415968698063111,5.79453209973445e-06,0.000230244923163202,1,9.99999999992651e-05,1.49971589590091e-06,-7.98707191122098e-05,0.00527094198991322,3.00218122615263e-11
2.3,6.5,1,8,theta,0.001,30,0,0.00415968683911843,5.79453183838081e-05,0.00230244926305799,1,0.000999999999274672,1.49971589497491e-05,-0.000798707191276024,0.0527094198991323,3.00218073081181e-09
2.3,6.5,1,8,theta,0.01,30,0,0.041596815598615,0.000579452300972124,0.0230245247858759,1,0.00999999927475865,0.00014997158023728,-0.00798707206663924,0.527094198991323,3.00217742919e-07
2.3,6.5,1,8,theta,0.1,30,0,0.415915292759642,0.00579363912228101,0.230277375802423,0,0.0999992749432084,0.00149970654488583,-0.0798708746772546,5.27094198991323,3.00188262241201e-05
2.3,6.5,1,8,theta,1,30,0,4.10892721109175,0.05709855979179,2.33711043788669,0,0.999290617276378,0.0149880399787305,-0.798873817511508,52.7094198991323,0.00297708871566475
2.3,6.5,1,8,theta,5,30,0,19.591686438207,0.275437240749567,17.9897813290258,0,4.90856485500415,0.0737951545119907,-4.00765225071399,263.547099495661,0.0752725968753908
2.3,6.5,1,16,theta,1e-05,30,0,7.60961554831776e-05,1.25963636925729e-06,1.89607374236849e-05,1,9.99999999999415e-06,1.49971589590955e-07,2.16895696683792e-06,0.0060101465323105,6.41431644965299e-13
2.3,6.5,1,16,theta,0.0001,30,0,0.000760961578427842,1.25963641125284e-05,0.000189607379997994,1,9.99999999957079e-05,1.49971589584757e-06,2.16895696672498e-05,0.060101465323105,6.41440318474965e-11
2.3,6.5,1,16,theta,0.001,30,0,0.00760961251946818,0.000125963581132025,0.00189607383827335,1,0.000999999995721328,1.4997158896459e-05,0.000216895695542638,0.60101465323105,6.41439513258135e-09
2.3,6.5,1,16,theta,0.01,30,0,0.0760929754873257,0.00125957801474794,0.0189607638709322,1,0.00999999572141926,0.000149971526947283,0.00216895582555915,6.0101465323105,6.41431834999755e-07
2.3,6.5,1,16,theta,0.1,30,0,0.757828702132328,0.0125388755333245,0.18962962409749,0,0.0999957255914715,0.00149965331453146,0.0216884293199015,60.101465323105,6.40688287161553e-05
2.3,6.5,1,16,theta,1,30,0,6.20396794730024,0.100713667723121,1.90348297392578,0,0.995819894472368,0.0149359732157228,0.215778412926338,601.01465323105,0.00623984001228942
2.3,6.5,1,16,theta,5,1.37323659115079,2,31.4100421500124,0.5,10.1525174707111,0,31.4100421500124,0.5,2.22565750300891,3005.07326615525,0.0946496592162695
