type,time,x_c,x_c_dot,gamma,gamma_dot
real_0,1.2726027965545654,0.13150756395158847,,,
real_0,1.2727751731872559,0.13154197114070032,,,
real_0,1.2737922668457031,0.13174505271241355,,,
real_0,1.2740428447723389,0.1317951022597864,,,
real_0,1.2742106914520264,0.13182863112383392,,,
real_0,1.3231103420257568,0.14172328041892668,,,
real_0,1.3234238624572754,0.14178752039227782,,,
real_0,1.3244833946228027,0.1420046915067592,,,
real_0,1.3246793746948242,0.14204487386457942,,,
real_0,1.324817419052124,0.14207317984564083,,,
real_0,1.3249506950378418,0.1421005099148045,,,
real_0,1.3719801902770996,0.15185573863780644,,,
real_0,1.372920274734497,0.1520529614266095,,,
real_0,1.3730742931365967,0.15208528151891587,,,
real_0,1.3731787204742432,0.15210719644933313,,,
real_0,1.3732786178588867,0.15212816172078425,,,
real_0,1.3733932971954346,0.15215223044378512,,,
real_0,1.4346988201141357,0.16519730612880834,,,
real_0,1.435323715209961,0.16533206799863354,,,
real_0,1.4355053901672363,0.16537125377278894,,,
real_0,1.4356672763824463,0.16540617379458156,,,
real_0,1.4358434677124023,0.1654441822249313,,,
real_0,1.5005617141723633,0.17959047180545618,,,
real_0,1.5026066303253174,0.18004331457786027,,,
real_0,1.5028610229492188,0.18009967376501157,,,
real_0,1.503077745437622,0.18014769161494437,,,
real_0,1.503288984298706,0.1801944982620335,,,
real_0,1.5050089359283447,0.1805757463180857,,,
real_0,1.5442719459533691,0.18934477062783706,,,
real_0,1.5444986820220947,0.18939577033797617,,,
real_0,1.5445952415466309,0.18941749069241098,,,
real_0,1.5446889400482178,0.1894385681859032,,,
real_0,1.54544997215271,0.18960978820211738,,,
real_0,1.54559326171875,0.18964203117701173,,,
real_0,1.6187472343444824,0.20630815952389525,,,
real_0,1.6200227737426758,0.20660226434868567,,,
real_0,1.6202707290649414,0.20665944959917115,,,
real_0,1.6221649646759033,0.2070964563897565,,,
real_0,1.6224744319915771,0.20716787583458418,,,
real_0,1.622678518295288,0.20721497897541763,,,
real_0,1.6719386577606201,0.21866867408141943,,,
real_0,1.672292947769165,0.21875164572930783,,,
real_0,1.673614263534546,0.2190611593043723,,,
real_0,1.6738567352294922,0.21911796991591115,,,
real_0,1.6740355491638184,0.21915986812212596,,,
real_0,1.674180269241333,0.2191937792748767,,,
real_0,1.7334959506988525,0.2332049780314297,,,
real_0,1.7362449169158936,0.2338595671273057,,,
real_0,1.7367231845855713,0.2339734989180815,,,
real_0,1.73695707321167,0.23402922024246897,,,
real_0,1.7371761798858643,0.23408142286996314,,,
real_0,1.7373945713043213,0.2341334579117007,,,
real_0,1.8009836673736572,0.24940001363665498,,,
real_0,1.802825689315796,0.24984554282849192,,,
real_0,1.8030874729156494,0.24990887476189694,,,
real_0,1.8033068180084229,0.2499619425301638,,,
real_0,1.8035194873809814,0.2500133975944422,,,
real_0,1.8603270053863525,0.2638393802505056,,,
real_0,1.860658884048462,0.26392061209723483,,,
real_0,1.8608074188232422,0.26395696967081383,,,
real_0,1.8609628677368164,0.26399502074606496,,,
real_0,1.8611109256744385,0.2640312636849529,,,
real_0,1.86228346824646,0.26431832490084917,,,
real_0,1.899651288986206,0.27349904223877797,,,
real_0,1.8999981880187988,0.2735845552457954,,,
real_0,1.9002258777618408,0.27364068510467954,,,
real_0,1.90040922164917,0.273685884457083,,,
real_0,1.9018936157226562,0.27405188096452504,,,
real_0,1.9021265506744385,0.2741093225044511,,,
real_0,1.9672777652740479,0.29026032229315113,,,
real_0,1.9693894386291504,0.29078646747962067,,,
real_0,2.0346603393554688,0.3071217084549621,,,
real_0,2.038227081298828,0.30801808758020366,,,
real_0,2.0385634899139404,0.308102650842637,,,
real_0,2.0387532711029053,0.308150357662513,,,
real_0,2.038928747177124,0.30819446938442874,,,
real_0,2.0391058921813965,0.30823900151737404,,,
real_0,2.0402488708496094,0.30852635364957504,,,
real_0,2.0405166149139404,0.30859367145797534,,,
real_0,2.040705442428589,0.3086411487911691,,,
real_0,2.0408897399902344,0.30868748809958446,,,
real_0,2.0410640239715576,0.30873131048320035,,,
real_0,2.0798091888427734,0.3184933232150249,,,
real_0,2.0801072120666504,0.3185685566332608,,,
real_0,2.080211639404297,0.3185949189189241,,,
real_0,2.0803098678588867,0.31861971655477406,,,
real_0,2.1012868881225586,0.32392038705069703,,,
real_0,2.1457247734069824,0.3351792912710968,,,
real_0,2.1459524631500244,0.3352370725166416,,,
