Timestamp,Theta_rad,Gamma_rad,Phi_rad,Gamma_deg
1775768568.3933873,0.08335403352975845,-0.0758027732372284,-3.859098434448242,-4.34318053484559,-221.1101320804596
1775768568.3934977,0.08331163972616196,-0.07493887096643448,-3.858234405517578,-4.293682563118637,-221.06062685165406
1775768568.3942583,0.08335060626268387,-0.0738951563835144,-3.8571908473968506,-4.233882101118565,-221.00083535428047
1775768568.4245644,0.0833006501197815,-0.07294858247041702,-3.8562443256378174,-4.17964739150852,-220.94660363287926
1775768568.4248009,0.08333966135978699,-0.07190493494272232,-3.8552005290985107,-4.11985077149123,-220.88679847512245
1775768568.4248974,0.08328137546777725,-0.0707855373620987,-3.854081153869629,-4.055713991591334,-220.82266297588347
1775768568.4485388,0.08331301063299179,-0.0696592852473259,-3.852954864501953,-3.991184475673735,-220.758131325531
1775768568.5028613,0.08326227962970734,-0.06862249970436096,-3.8519182205200195,-3.9317810185611246,-220.69873597927094
1775768568.5031934,0.0832856222987175,-0.06732349097728729,-3.850619077682495,-3.8573532743364574,-220.6243005510807
1775768568.503348,0.0833163782954216,-0.06610719859600067,-3.849402904510498,-3.787664829316735,-220.55461893625258
1775768568.5034974,0.08325004577636719,-0.06481491029262543,-3.8481104373931885,-3.713622137144208,-220.48056599879266
1775768568.5036454,0.0833565890789032,-0.0635145828127861,-3.845851421356201,-3.63911883392483,-220.35113386774063
1775768568.504816,0.08329755067825317,-0.06230485811829567,-3.844641923904419,-3.569806689774245,-220.2818347436428
1775768568.552048,0.08331296592950821,-0.060833126306533813,-3.843170166015625,-3.4854826382339,-220.19750919799804
1775768568.5523918,0.08333539962768555,-0.059444136917591095,-3.8417811393737793,-3.405899380002916,-220.1179238053322
1775768568.552556,0.08326951414346695,-0.05815168097615242,-3.8404886722564697,-3.3318470828734337,-220.04387086787224
1775768568.5527134,0.08328522741794586,-0.05668004974722862,-3.839016914367676,-3.2475287943072617,-219.95954532222748
1775768568.5575366,0.08330108225345612,-0.055208489298820496,-3.837545394897461,-3.163214561167359,-219.87523343696594
1775768568.55806,0.08331678062677383,-0.05382399260997772,-3.836160898208618,-3.0838887157827615,-219.79590759158134
1775768568.5932937,0.08333281427621841,-0.0523524284362793,-3.8346893787384033,-2.999574269199371,-219.7115957063198
1775768568.5935416,0.08328186720609665,-0.04949818551540375,-3.8318350315093994,-2.8360381376534702,-219.54805359835623
1775768568.5936406,0.08329827338457108,-0.04802675172686577,-3.8303637504577637,-2.7517311615921556,-219.46375537347794
1775768568.6252582,0.08322484791278839,-0.04656124860048294,-3.8288981914520264,-2.6677639875635504,-219.379784997797
1775768568.6254802,0.08332435041666031,-0.045087650418281555,-3.8274245262145996,-2.5833330008357764,-219.29535016908645
1775768568.6255765,0.08333902060985565,-0.04352618381381035,-3.8258631229400635,-2.4938675225593148,-219.2058883193493
1775768568.6492438,0.08326591551303864,-0.04206058382987976,-3.824397563934326,-2.409894799000025,-219.12191794366836
1775768568.6499429,0.08328893780708313,-0.040672071278095245,-3.8230090141296387,-2.3303388615354894,-219.04235987176895
1775768568.6516767,0.08338657021522522,-0.039108265191316605,-3.820486545562744,-2.240739340748638,-218.89783301725387
1775768568.700866,0.0833137184381485,-0.037642598152160645,-3.8190207481384277,-2.1567627752065657,-218.81384898118972
1775768568.7012649,0.08333197236061096,-0.03607398644089699,-3.8174521923065186,-2.066887912320346,-218.72397731995582
1775768568.7014003,0.08325668424367905,-0.034518204629421234,-3.815896511077881,-1.977748148806393,-218.63484331941604
1775768568.7015173,0.08334846794605255,-0.03287149593234062,-3.8142497539520264,-1.883398656640202,-218.5404910524845
1775768568.7387576,0.08327588438987732,-0.0314057357609272,-3.81278395652771,-1.7994167550109328,-218.45650701642037
1775768568.7390137,0.08329068869352341,-0.029844652861356735,-3.811223030090332,-1.7099732614137233,-218.36707248744963
